"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","GVL","2022","17","246","174","26","18","8","23.28","17.46","5.83","2.17","31","26.57"
"","RIC","2022","16","191","218","29","17","12","19.83","18.56","1.27","10.73","25","22.71"
"","MAD","2022","15","160","178","20","23","-3","13.93","15.07","-1.13","-1.87","23","20.11"
"","OMA","2022","13","159","124","16","10","6","13.63","9.17","4.46","1.54","21","21.00"
"","TRM","2022","16","213","171","21","24","-3","21.19","17.36","3.83","-6.83","21","25.13"
"","CHA","2022","16","179","162","27","22","5","18.73","17.70","1.03","3.97","20","21.83"
"","NCO","2022","16","212","165","23","23","0","24.27","19.96","4.31","-4.31","20","24.13"
"","CV","2022","15","152","198","19","19","0","14.54","21.58","-7.05","7.05","20","15.68"
"","CLT","2022","16","178","224","22","32","-10","20.71","26.48","-5.77","-4.23","19","18.58"
"","NC","2022","15","157","189","20","25","-5","17.90","17.39","0.51","-5.51","18","20.61"
"","TUC","2022","15","154","198","13","23","-10","12.34","19.62","-7.28","-2.72","13","14.91"